,Unnamed: 0,comment
219,219,Om Indro sangat bagus dalam bicara dan keliatan ilmu nya sangat bnyak
220,220,Sehat selalu buat opa nanti ngopi bareng lg opa
221,221,jangan mendewakan duit😊🤟
222,222,Bang boneng adalah sang legen..Sya sllu inget bang boneng di film nya suzana.trimakasih bang boneng sudah menemani di saat saya masih kecil..
223,223,Legend
224,224,Demi nonton waekop dllu smpk nontn d baledesa 😂
225,225,"yg berkesan Om Boneng melatih Security, itu latihan security apa Wajib Militer 🤣🤣🤣"
226,226,"salut dg adab mang didin boneng, biasany klo artis lama g muncul pngnnya mndominasi ngomong ktika tampil,tp beliau bnr2 bicara saat dpt waktu dan g nyela bicara org, wlau jstru beliau dsela bbrp kali ktika mau komentar."
227,227,Om boneng klepon pa onde onde sih😅
228,228,"Jaman dulu artisnya orang-orang intelektual (utamakan pendidikan & attitude).
Skrg terbalik krn viral."
229,229,Betul om indro bebasnya film asing masuk dan monopoly 21 menghancurkan film Indonesia th 90an.
230,230,Sehat selaluuu semuq😊
231,231,Om Diding Boneng...pemanis Warkop DKI..🔥🔥💪💪🤣😁😜🤣🤣
232,232,"tamu episode kali ini bnr2 the Real Living Legend-nya komedi Indonesia..Good Job!

kutipan epic dr Pakde Indro, ""elu mikir, kita nggak"""
233,233,"Gila.. gua nangis terharu mendengar semua langsung dari seniman sejati dan ikhlas.. sehat selalu pakde Indro dan pakde Boneng.. 
Dan buat Lo om dedd... Loo genius..."
234,234,"badan aja lu gedein sama maling aja takut, hahahha... om indro kena kerjain om diding boneng, rampok spesial klepon/onde onde.  salut peranan semua di warkop dki.  natural"
235,235,Om boneng terptong mulu pngn banget denger beliau ngomong kesamber mulu
236,236,Aku salah satu yg termakan isu klo om boneng mninggal. 2 Legend yg sangat hebat
237,237,"Masya Allah, Sehat2 selalu buat para LEGENDS"
238,238,"Kunci nya di hati mereka tidak ada sipat iri dengki,  tp saling menyayangi dan saling tolong menolong, jaman sekarang mna ada seperti mereka"
239,239,keren banget dah
240,240,Terima kasih om dedy sudah diperlihatkan lagi om indro dan om boneng yang sudah melegahkan dahaga kami melihat panutan² dan senior² seluruh indonesia terima kasih banyak om dedy semoga om dedy dan om indro om boneng sehat selalu ditambah rejekinya dan barokah..amin
241,241,Alm. Kasino dan dono senang melihat ini
242,242,"Semoga di berikan kesehatan dan keberkahan hidup...
Salam hormat legenda atas semua karya sampean, yang mewarnai humor dan kelucuan di masa kanak-kanak ku..."
243,243,2 legend yg sangat berkualitas
244,244,om diding boneng adalah orang yang paling mencintai warkop🥲🥰
245,245,Terima kasih om Indro sudah menemani sejak masa kecil😇
246,246,"Saat thn 80 an setiap hari lebaran saya suka sekali menonton film warkop di bioskop 
Saat group warkop masih lengkap 4 orang saya sudah sering mendengar di Radio Prambors"
247,247,"haru dengar kata"" om bokir ,ini yg benar""seniman ,legent , saya lebih tau apa itu IKLAS DAN BERYUKUR."
248,248,Ini sih bukan pelawak tapi seniman lawak 👍
249,249,Jadi ingat epsidoe ngakak dki latihan jdi sekuriti😂
250,250,"orang-orang yang selalu menghibur 1 Indonesia zaman dahulu saat zaman nonton pakai CD tetangga, harus mandi dulu baru boleh ikutan nonton kalau tidak disuruh pulang. Hahahah"
